Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Immune treatment]	Term Source REF	Term Accession Number	Factor Value[Collection timepoint]	Unit	Term Source REF	Term Accession Number
Glands_24h_Pm1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pm1	male			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pm2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pm2	male			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pm3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pm3	male			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pm4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pm4	male			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pm5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pm5	male			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pm6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pm6	male			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Pm8	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Pm8	male			primed			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wf1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wf1	female			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wf2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wf2	female			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wf3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wf3	female			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wf4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wf4	female			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wf5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wf5	female			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wf6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wf6	female			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wf7	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wf7	female			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wf8	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wf8	female			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wm1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wm1	male			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wm2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wm2	male			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wm3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wm3	male			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wm4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wm4	male			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wm5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wm5	male			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wm6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wm6	male			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wm7	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wm7	male			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Wm8	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Wm8	male			wounded			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nf1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nf1	female			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nf2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nf2	female			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nf3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nf3	female			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nf4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nf4	female			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nf5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nf5	female			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nf6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nf6	female			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nf7	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nf7	female			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nf8	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nf8	female			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nm1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nm1	male			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nm2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nm2	male			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nm3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nm3	male			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nm4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nm4	male			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nm5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nm5	male			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nm6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nm6	male			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nm7	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nm7	male			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Nm8	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Nm8	male			naive			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pf1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pf1	female			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pf2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pf2	female			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pf3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pf3	female			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pf4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pf4	female			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pf5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pf5	female			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pf6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pf6	female			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pf7	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pf7	female			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pf8	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pf8	female			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pm2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pm2	male			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pm3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pm3	male			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pm4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pm4	male			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pm5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pm5	male			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pm6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pm6	male			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pm7	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pm7	male			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Pm8	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Pm8	male			primed			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Wf1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Wf1	female			wounded			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Wf2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Wf2	female			wounded			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Wf3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Wf3	female			wounded			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Wf5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Wf5	female			wounded			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Wf6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Wf6	female			wounded			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Wf7	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Wf7	female			wounded			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Wf8	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Wf8	female			wounded			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Wm1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Wm1	male			wounded			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Wm2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Wm2	male			wounded			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Wm3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_72h_Wm3	male			wounded			72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
